"office","name","party","year"
"US Representative District 15","Zamora","R",2014
"US Representative District 15","Hinojosa","D",2014
"State Representative District 20","Farney","R",2014
"State Representative District 20","Wyman","D",2014
"State Representative District 5","Hughes","R",2014
"State Representative District 87","Price","R",2014
"State Representative District 87","Bosquez","D",2014
"US Representative District 36","Babin","R",2014
"US Representative District 36","Cole","D",2014
"State Representative District 23","Faircloth","R",2014
"State Representative District 23","Criss","D",2014
"US Representative District 3","Johnson","R",2014
"US Representative District 32","Sessions","R",2014
"US Representative District 32","Perez","D",2014
"State Board of Education District 12","Miller","R",2014
"State Board of Education District 12","Parrott","D",2014
"State Senator District 8","Taylor","R",2014
"State Representative District 67","Leach","R",2014
"State Representative District 89","Laubenberg","R",2014
"State Representative District 89","Karmally","D",2014
"US Representative District 30","Bernice Johnson","D",2014
"US Representative District 24","Marchant","R",2014
"US Representative District 26","Burgess","R",2014
"US Representative District 33","Veasey","D",2014
"US Representative District 24","McGehearty","D",2014
"State Board of Education District 13","Beltran","D",2014
"State Board of Education District 11","Hardy","R",2014
"State Board of Education District 11","Bean","D",2014
"State Senator District 2","Hall","R",2014
"State Senator District 23","Lawson","R",2014
"State Senator District 9","Hancock","R",2014
"State Senator District 23","West","D",2014
"State Senator District 9","Perry","D",2014
"State Representative District 114","Villalba","R",2014
"State Representative District 107","Sheets","R",2014
"State Representative District 100","Johnson","D",2014
"State Representative District 108","Meyer","R",2014
"State Representative District 113","Burkett","R",2014
"State Representative District 112","Chen Button","R",2014
"State Representative District 102","Koop","R",2014
"State Representative District 115","Rinaldi","R",2014
"State Representative District 105","Anderson","R",2014
"State Representative District 107","Donovan","D",2014
"State Representative District 108","Bailey","D",2014
"State Representative District 113","Whitley","D",2014
"State Representative District 102","Clayton","D",2014
"State Representative District 115","Stafford","D",2014
"State Representative District 105","Motley","D",2014
"State Representative District 64","Crownover","R",2014
"State Representative District 106","Fallon","R",2014
"State Representative District 65","Simmons","R",2014
"State Representative District 63","Parker","R",2014
"State Representative District 64","Lyons","D",2014
"State Representative District 106","Osterholt","D",2014
"State Representative District 65","Mendoza","D",2014
"State Representative District 63","Moran","D",2014
"State Representative District 80","King","D",2014
"US Representative District 6","Barton","R",2014
"US Representative District 6","Cozad","D",2014
"US Representative District 16","Roen","R",2014
"US Representative District 16","O'Rourke","D",2014
"State Representative District 77","Marquez","D",2014
"State Representative District 76","Blanco","D",2014
"US Representative District 9","Green","D",2014
"State Board of Education District 4","Olmos","R",2014
"State Board of Education District 4","Allen","D",2014
"State Representative District 85","Stephenson","R",2014
"State Representative District 26","Miller","R",2014
"State Representative District 27","Hamilton","R",2014
"State Representative District 85","Drabek","D",2014
"State Representative District 26","Paaso","D",2014
"State Representative District 27","Reynolds","D",2014
"US Representative District 8","Brady","R",2014
"State Representative District 44","Kuempel","R",2014
"State Representative District 44","Bohmfalk","D",2014
"US Representative District 18","Seibert","R",2014
"US Representative District 7","Culberson","R",2014
"US Representative District 29","Green","D",2014
"US Representative District 2","Poe","R",2014
"US Representative District 18","Jackson Lee","D",2014
"US Representative District 7","Cargas","D",2014
"US Representative District 2","Letsos","D",2014
"State Senator District 15","Hale","R",2014
"State Senator District 7","Bettencort","R",2014
"State Senator District 15","Whitmire","D",2014
"State Senator District 7","Davis","D",2014
"State Representative District 148","Carmona","R",2014
"State Representative District 150","Riddle","R",2014
"State Representative District 146","Miles","D",2014
"State Representative District 128","Smith","R",2014
"State Representative District 134","Davis","R",2014
"State Representative District 130","Fletcher","R",2014
"State Representative District 135","Elkins","R",2014
"State Representative District 138","Bohac","R",2014
"State Representative District 144","Pena","R",2014
"State Representative District 129","Paul","R",2014
"State Representative District 126","Harless","R",2014
"State Representative District 133","Murphy","R",2014
"State Representative District 132","Schofield","R",2014
"State Representative District 137","Fiki","R",2014
"State Representative District 149","Hoang","R",2014
"State Representative District 148","Farrar","D",2014
"State Representative District 150","Perez","D",2014
"State Representative District 134","Ruff","D",2014
"State Representative District 135","Abbas","D",2014
"State Representative District 138","Vernon","D",2014
"State Representative District 144","Perez","D",2014
"State Representative District 129","Gay","D",2014
"State Representative District 133","Nicol","D",2014
"State Representative District 132","Lopez","D",2014
"State Representative District 137","Wu","D",2014
"State Representative District 149","Vo","D",2014
"State Representative District 4","Spitzer","R",2014
"State Representative District 41","Casas","R",2014
"State Representative District 41","Guerra","D",2014
"State Representative District 21","Phelan","R",2014
"State Representative District 21","Bruney","D",2014
"State Representative District 84","Frullo","R",2014
"State Representative District 84","Tishler","D",2014
"State Representative District 56","Anderson","R",2014
"State Representative District 16","Metcalf","R",2014
"State Representative District 3","Bell","R",2014
"State Representative District 16","Hayles","D",2014
"US Representative District 12","Granger","R",2014
"US Representative District 12","Greene","D",2014
"State Representative District 61","King","R",2014
"State Representative District 61","Britt","D",2014
"State Representative District 6","Schaefer","R",2014
"State Senator District 10","Burton","R",2014
"State Senator District 10","Willis","D",2014
"State Representative District 95","McDaniel","R",2014
"State Representative District 97","Goldman","R",2014
"State Representative District 96","Zedler","R",2014
"State Representative District 92","Stickland","R",2014
"State Representative District 101","Turner","D",2014
"State Representative District 94","Tinderholt","R",2014
"State Representative District 91","Klick","R",2014
"State Representative District 95","Collier","D",2014
"State Representative District 92","Penney","D",2014
"State Representative District 94","Ballweg","D",2014
"State Representative District 91","Ragan","D",2014
"State Representative District 46","Dukes","D",2014
"State Representative District 50","VanDeWalle","R",2014
"State Representative District 51","Rodriguez","D",2014
"State Representative District 49","Naishtat","D",2014
"State Representative District 48","Howard","D",2014
"State Representative District 47","Workman","R",2014
"State Representative District 50","Israel","D",2014
"State Representative District 42","Raymond","D",2014
"State Representative District 136","Dale","R",2014
"State Representative District 52","Gonzales","R",2014
"State Representative District 136","Bucy","D",2014
"State Representative District 52","Osborn","D",2014
"US President","Clinton","D",2016
"US President","Trump","R",2016
"US Representative District 5","Hensarling","R",2016
"Railroad Commissioner 1","Yarbrough","D",2016
"Railroad Commissioner 1","Christian","R",2016
"Supreme Court Seat 3","Lehrmann","R",2016
"Supreme Court Seat 3","Westergren","D",2016
"Supreme Court Seat 5","Green","R",2016
"Supreme Court Seat 5","Garza","D",2016
"Supreme Court Seat 9","Guzman","R",2016
"Supreme Court Seat 9","Robinson","D",2016
"Court of Criminal Appeals Seat 2","Meyers","D",2016
"Court of Criminal Appeals Seat 2","Keel","R",2016
"Court of Criminal Appeals Seat 5","Johnson","D",2016
"Court of Criminal Appeals Seat 5","Walker","R",2016
"Court of Criminal Appeals Seat 6","Keasler","R",2016
"Court of Criminal Appeals Seat 6","Burns","D",2016
"State Board of Education District 9","Ellis","R",2016
"State Board of Education District 9","Rudolph","D",2016
"US Representative District 11","Conaway","R",2016
"US Representative District 1","Gohmert","R",2016
"US Representative District 1","McKellar","D",2016
"US Representative District 27","Farenthold","R",2016
"US Representative District 27","Barrera","D",2016
"State Senator District 18","Kolkhorst","R",2016
"US Representative District 13","Thornberry","R",2016
"US Representative District 28","Cuellar","D",2016
"US Representative District 28","Hardin","R",2016
"State Board of Education District 1","Perez","D",2016
"State Senator District 19","Uresti","D",2016
"State Senator District 19","Flores","R",2016
"US Representative District 10","Cadien","D",2016
"US Representative District 10","McCaul","R",2016
"State Board of Education District 10","Maynard","R",2016
"State Board of Education District 10","Jennings","D",2016
"State Representative District 13","Schubert","R",2016
"State Representative District 13","Webster","D",2016
"US Representative District 19","Arrington","R",2016
"US Representative District 21","Smith","R",2016
"US Representative District 21","Wakely","D",2016
"State Senator District 24","Leeder","D",2016
"State Senator District 24","Buckingham","R",2016
"State Representative District 53","Murr","R",2016
"State Representative District 53","Ertel","D",2016
"US Representative District 17","Flores","R",2016
"US Representative District 17","Matta","D",2016
"US Representative District 34","Vela","D",2016
"US Representative District 34","Gonzalez","R",2016
"State Representative District 43","Lozano","R",2016
"State Representative District 43","Garcia-Utley","D",2016
"US Representative District 31","Carter","R",2016
"US Representative District 25","Williams","R",2016
"US Representative District 31","Clark","D",2016
"US Representative District 25","Thomas","D",2016
"State Representative District 54","Blankenship","D",2016
"State Representative District 54","Cosper","R",2016
"US Representative District 35","Doggett","D",2016
"US Representative District 23","Hurd","R",2016
"US Representative District 20","Castro","D",2016
"US Representative District 35","Narvaiz","R",2016
"US Representative District 23","Gallego","D",2016
"State Board of Education District 5","Mercer","R",2016
"State Board of Education District 5","Bell-Metereau","D",2016
"State Senator District 26","Menendez","D",2016
"State Representative District 118","Lujan","R",2016
"State Representative District 117","Galindo","R",2016
"State Representative District 118","Uresti","D",2016
"State Representative District 117","Cortez","D",2016
"State Representative District 120","Gervin-Hawkins","D",2016
"State Senator District 22","Birdwell","R",2016
"State Senator District 22","Collins","D",2016
"US Representative District 4","Ratcliffe","R",2016
"US Representative District 14","Weber","R",2016
"US Representative District 22","Olson","R",2016
"US Representative District 14","Cole","D",2016
"US Representative District 22","Gibson","D",2016
"State Representative District 29","Thompson","R",2016
"State Representative District 29","Floyd","D",2016
"US Representative District 15","Gonzalez","D",2016
"US Representative District 15","Westley","R",2016
"State Senator District 20","Hinojosa","D",2016
"State Senator District 20","Arellano","R",2016
"US Representative District 36","Babin","R",2016
"State Senator District 4","Creighton","R",2016
"State Representative District 23","Faircloth","R",2016
"State Representative District 23","Criss","D",2016
"State Representative District 11","Clardy","R",2016
"State Representative District 11","Wright","D",2016
"US Representative District 3","Johnson","R",2016
"US Representative District 32","Sessions","R",2016
"US Representative District 3","Bell","D",2016
"State Representative District 70","Sanford","R",2016
"State Representative District 67","Leach","R",2016
"State Representative District 89","Laubenberg","R",2016
"State Representative District 33","Jacobs","D",2016
"State Representative District 66","Shaheen","R",2016
"State Representative District 70","Bryant","D",2016
"State Representative District 67","Coleman","D",2016
"State Representative District 89","Hamilton","D",2016
"State Representative District 33","Holland","R",2016
"State Representative District 66","Nelson","D",2016
"US Representative District 30","Bernice Johnson","D",2016
"US Representative District 24","Marchant","R",2016
"US Representative District 26","Burgess","R",2016
"US Representative District 33","Veasey","D",2016
"US Representative District 30","Lingerfelt","R",2016
"US Representative District 24","McDowell","D",2016
"US Representative District 26","Mauck","D",2016
"US Representative District 33","Mitchell","R",2016
"State Representative District 114","Villalba","R",2016
"State Representative District 107","Sheets","R",2016
"State Representative District 100","Johnson","D",2016
"State Representative District 109","Giddings","D",2016
"State Representative District 108","Meyer","R",2016
"State Representative District 113","Burkett","R",2016
"State Representative District 112","Chen Button","R",2016
"State Representative District 102","Koop","R",2016
"State Representative District 115","Rinaldi","R",2016
"State Representative District 111","Davis","D",2016
"State Representative District 105","Anderson","R",2016
"State Representative District 114","Burke","D",2016
"State Representative District 107","Neave","D",2016
"State Representative District 109","Russell","R",2016
"State Representative District 113","Bowers","D",2016
"State Representative District 112","Blackshear","D",2016
"State Representative District 102","Irvin","D",2016
"State Representative District 115","Ocker","D",2016
"State Representative District 111","Jackson","R",2016
"State Representative District 105","Meza","D",2016
"State Senator District 12","Nelson","R",2016
"State Representative District 64","Flanagan","D",2016
"State Representative District 106","Fallon","R",2016
"State Representative District 65","Simmons","R",2016
"State Representative District 64","Stucky","R",2016
"State Representative District 65","Mendoza","D",2016
"US Representative District 6","Barton","R",2016
"US Representative District 6","Woolridge","D",2016
"State Representative District 10","Wray","R",2016
"US Representative District 16","O'Rourke","D",2016
"State Representative District 78","Moody","D",2016
"State Representative District 78","Lane","R",2016
"US Representative District 9","Green","D",2016
"US Representative District 9","Martin","R",2016
"State Senator District 13","Miles","D",2016
"State Representative District 85","Stephenson","R",2016
"State Representative District 26","Miller","R",2016
"State Representative District 27","Reynolds","D",2016
"State Representative District 85","Davis","D",2016
"State Representative District 26","DeMerchant","D",2016
"State Representative District 27","Bryant","R",2016
"State Representative District 44","Kuempel","R",2016
"State Representative District 44","Bohmfalk","D",2016
"US Representative District 18","Jackson Lee","D",2016
"US Representative District 7","Culberson","R",2016
"US Representative District 29","Green","D",2016
"US Representative District 2","Poe","R",2016
"US Representative District 18","Bartley","R",2016
"US Representative District 7","Cargas","D",2016
"US Representative District 29","Garza","R",2016
"US Representative District 2","Bryan","D",2016
"State Board of Education District 6","Bahorich","R",2016
"State Board of Education District 6","Cater","D",2016
"State Representative District 147","Coleman","D",2016
"State Representative District 150","Kelly","D",2016
"State Representative District 146","Thierry","D",2016
"State Representative District 128","Cain","R",2016
"State Representative District 134","Davis","R",2016
"State Representative District 135","Elkins","R",2016
"State Representative District 144","Pena","R",2016
"State Representative District 126","Dawson-Thomas","D",2016
"State Representative District 127","Huberty","R",2016
"State Representative District 132","Schofield","R",2016
"State Representative District 137","Wu","D",2016
"State Representative District 149","Vo","D",2016
"State Representative District 147","Murphy","R",2016
"State Representative District 150","Swanson","R",2016
"State Representative District 134","Rose","D",2016
"State Representative District 135","Ybanez","D",2016
"State Representative District 144","Perez","D",2016
"State Representative District 126","Roberts","R",2016
"State Representative District 137","Baker","R",2016
"State Representative District 149","Chu","R",2016
"State Representative District 41","Guerra","D",2016
"State Representative District 40","Canales","D",2016
"State Representative District 41","Garza DeShazo","R",2016
"State Representative District 40","De Leon","R",2016
"State Representative District 71","LoPachin","D",2016
"State Representative District 71","Lambert","R",2016
"State Representative District 18","Bailes","R",2016
"State Representative District 56","Anderson","R",2016
"US Representative District 12","Granger","R",2016
"US Representative District 12","Bradshaw","D",2016
"State Representative District 95","Collier","D",2016
"State Representative District 97","Goldman","R",2016
"State Representative District 96","Zedler","R",2016
"State Representative District 99","Geren","R",2016
"State Representative District 93","Krause","R",2016
"State Representative District 92","Leach","D",2016
"State Representative District 101","Turner","D",2016
"State Representative District 94","Tinderholt","R",2016
"State Representative District 98","Capriglione","R",2016
"State Representative District 95","McDaniel","R",2016
"State Representative District 97","Tarrant","D",2016
"State Representative District 96","Lee","D",2016
"State Representative District 93","Bean","D",2016
"State Representative District 92","Stickland","R",2016
"State Representative District 101","Garza","R",2016
"State Representative District 98","Chibli","D",2016
"State Representative District 46","Dukes","D",2016
"State Representative District 50","Israel","D",2016
"State Representative District 51","Rodriguez","D",2016
"State Representative District 49","Hinojosa","D",2016
"State Representative District 48","Howard","D",2016
"State Representative District 47","Workman","R",2016
"State Representative District 46","Nila","R",2016
"State Representative District 50","Ruiz","R",2016
"State Representative District 47","Jordan","D",2016
"State Representative District 136","Dale","R",2016
"State Representative District 52","Gonzales","R",2016
"State Representative District 136","Gordon","D",2016
"US Senator","Cruz","R",2018
"US Senator","O'Rourke","D",2018
"US Representative District 5","Gooden","R",2018
"US Representative District 5","Wood","D",2018
"Governor","Abbott","R",2018
"Governor","Valdez","D",2018
"Lieutenant Governor","Patrick","R",2018
"Lieutenant Governor","Collier","D",2018
"Attorney General","Paxton","R",2018
"Attorney General","Nelson","D",2018
"Comptroller","Hegar","R",2018
"Comptroller","Chevalier","D",2018
"Land Commissioner","Bush","R",2018
"Land Commissioner","Suazo","D",2018
"Agriculture Commissioner","Miller","R",2018
"Agriculture Commissioner","Olson","D",2018
"Railroad Commissioner 1","Craddick","R",2018
"Railroad Commissioner 1","McAllen","D",2018
"Supreme Court Seat 2","Blacklock","R",2018
"Supreme Court Seat 2","Kirkland","D",2018
"Supreme Court Seat 4","Devine","R",2018
"Supreme Court Seat 4","Sandill","D",2018
"Supreme Court Seat 6","Brown","R",2018
"Supreme Court Seat 6","Cheng","D",2018
"Court of Criminal Appeals Presiding Judge","Keller","R",2018
"Court of Criminal Appeals Presiding Judge","Jackson","D",2018
"Court of Criminal Appeals Seat 7","Hervey","R",2018
"Court of Criminal Appeals Seat 7","Franklin","D",2018
"Court of Criminal Appeals Seat 8","Slaughter","R",2018
"State Senator District 3","Nichols","R",2018
"State Senator District 3","Layton","D",2018
"State Representative District 8","Harris","R",2018
"State Representative District 8","Ratcliff","D",2018
"US Representative District 11","Conaway","R",2018
"US Representative District 11","Leeder","D",2018
"State Senator District 31","Seliger","R",2018
"State Representative District 81","Landgraf","R",2018
"State Representative District 81","Gamboa","D",2018
"US Representative District 1","Gohmert","R",2018
"US Representative District 1","McKellar","D",2018
"State Representative District 57","Ashby","R",2018
"State Representative District 57","Rogers","D",2018
"US Representative District 27","Cloud","R",2018
"US Representative District 27","Holguin","D",2018
"State Board of Education District 2","Hasse","R",2018
"State Board of Education District 2","Cortez","D",2018
"State Representative District 30","Morrison","R",2018
"State Representative District 30","Hayter","D",2018
"US Representative District 13","Thornberry","R",2018
"US Representative District 13","Sagan","D",2018
"State Senator District 30","Fallon","R",2018
"State Senator District 30","Lopez","D",2018
"State Representative District 88","King","R",2018
"State Representative District 88","Barron","D",2018
"US Representative District 28","Cuellar","D",2018
"US Representative District 10","McCaul","R",2018
"US Representative District 10","Siegel","D",2018
"State Representative District 13","Leman","R",2018
"State Representative District 13","Webster","D",2018
"US Representative District 19","Arrington","R",2018
"US Representative District 19","Levario","D",2018
"US Representative District 21","Roy","R",2018
"US Representative District 21","Kopser","D",2018
"State Representative District 53","Murr","R",2018
"State Representative District 53","Ertel","D",2018
"US Representative District 17","Flores","R",2018
"US Representative District 17","Kennedy","D",2018
"State Senator District 14","Hindman","R",2018
"State Senator District 14","Watson","D",2018
"State Representative District 17","Cyrier","R",2018
"State Representative District 17","Ryan","D",2018
"US Representative District 34","Gonzalez","R",2018
"US Representative District 34","Vela","D",2018
"State Representative District 43","Lozano","R",2018
"State Representative District 43","Miller","D",2018
"US Representative District 31","Carter","R",2018
"US Representative District 25","Williams","R",2018
"US Representative District 31","Hegar","D",2018
"US Representative District 25","Oliver","D",2018
"State Representative District 54","Buckley","R",2018
"State Representative District 54","Richerson","D",2018
"US Representative District 35","Smalling","R",2018
"US Representative District 23","Hurd","R",2018
"US Representative District 20","Castro","D",2018
"US Representative District 35","Doggett","D",2018
"US Representative District 23","Ortiz Jones","D",2018
"State Senator District 25","Campbell","R",2018
"State Senator District 25","Kling","D",2018
"State Representative District 124","Arredondo","R",2018
"State Representative District 118","Lujan","R",2018
"State Representative District 117","Berlanga","R",2018
"State Representative District 125","Rodriguez","D",2018
"State Representative District 116","Padron","R",2018
"State Representative District 122","Larson","R",2018
"State Representative District 121","Allison","R",2018
"State Representative District 120","Payne","R",2018
"State Representative District 124","Minjarez","D",2018
"State Representative District 118","Pacheco","D",2018
"State Representative District 117","Cortez","D",2018
"State Representative District 116","Martinez Fischer","D",2018
"State Representative District 122","Barnett","D",2018
"State Representative District 121","Montoya","D",2018
"State Representative District 120","Gervin-Hawkins","D",2018
"State Representative District 45","Strange","R",2018
"State Representative District 45","Zwiener","D",2018
"State Representative District 83","Burrows","R",2018
"State Representative District 83","Landry","D",2018
"US Representative District 4","Ratcliffe","R",2018
"US Representative District 4","Krantz","D",2018
"US Representative District 14","Weber","R",2018
"US Representative District 22","Olson","R",2018
"US Representative District 14","Bell","D",2018
"US Representative District 22","Kulkarni","D",2018
"State Board of Education District 7","Robinson","R",2018
"State Board of Education District 7","Markowitz","D",2018
"State Senator District 17","Huffman","R",2018
"State Senator District 17","Lucido","D",2018
"State Representative District 29","Thompson","R",2018
"State Representative District 29","Presley","D",2018
"State Senator District 5","Schwertner","R",2018
"State Senator District 5","Walsh","D",2018
"State Representative District 12","Kacal","R",2018
"State Representative District 14","Raney","R",2018
"State Representative District 12","Arnold","D",2018
"State Representative District 14","Wilkinson","D",2018
"US Representative District 15","Westley","R",2018
"US Representative District 15","Gonzalez","D",2018
"State Representative District 20","Wilson","R",2018
"State Representative District 20","Wyman","D",2018
"State Representative District 5","Hefner","R",2018
"State Representative District 5","Liebbe","D",2018
"US Representative District 36","Babin","R",2018
"US Representative District 36","Steele","D",2018
"State Representative District 23","Middleton","R",2018
"State Representative District 23","Jamrok","D",2018
"State Representative District 11","Clardy","R",2018
"State Representative District 11","Johnson","D",2018
"US Representative District 3","Taylor","R",2018
"US Representative District 32","Sessions","R",2018
"US Representative District 3","Burch","D",2018
"US Representative District 32","Allred","D",2018
"State Board of Education District 12","Little","R",2018
"State Board of Education District 12","Smith","D",2018
"State Senator District 8","Paxton","R",2018
"State Senator District 8","Phariss","D",2018
"State Representative District 70","Sanford","R",2018
"State Representative District 67","Leach","R",2018
"State Representative District 89","Noble","R",2018
"State Representative District 33","Holland","R",2018
"State Representative District 66","Shaheen","R",2018
"State Representative District 70","Luton","D",2018
"State Representative District 67","Depew","D",2018
"State Representative District 89","Ash","D",2018
"State Representative District 33","Gunn","D",2018
"State Representative District 66","Hirsch","D",2018
"State Representative District 73","Biedermann","R",2018
"State Representative District 73","Phillips","D",2018
"State Representative District 82","Craddick","R",2018
"State Representative District 82","Bounds","D",2018
"State Representative District 86","Smithee","R",2018
"State Representative District 86","Purcell","D",2018
"US Representative District 30","Bernice Johnson","D",2018
"US Representative District 24","Marchant","R",2018
"US Representative District 26","Burgess","R",2018
"US Representative District 33","Billups","R",2018
"US Representative District 24","McDowell","D",2018
"US Representative District 26","Fagan","D",2018
"US Representative District 33","Veasey","D",2018
"State Board of Education District 13","Russell","R",2018
"State Board of Education District 11","Hardy","R",2018
"State Board of Education District 13","Davis","D",2018
"State Board of Education District 11","Morton","D",2018
"State Senator District 16","Huffines","R",2018
"State Senator District 2","Hall","R",2018
"State Senator District 9","Hancock","R",2018
"State Senator District 16","Johnson","D",2018
"State Senator District 2","Scudder","D",2018
"State Senator District 9","Burud","D",2018
"State Representative District 114","Luby Ryan","R",2018
"State Representative District 107","Metzger","R",2018
"State Representative District 108","Meyer","R",2018
"State Representative District 113","Boos","R",2018
"State Representative District 112","Chen Button","R",2018
"State Representative District 102","Koop","R",2018
"State Representative District 103","Fortenberry","R",2018
"State Representative District 115","Rinaldi","R",2018
"State Representative District 105","Anderson","R",2018
"State Representative District 114","Turner","D",2018
"State Representative District 107","Neave","D",2018
"State Representative District 108","Cattanach","D",2018
"State Representative District 113","Bowers","D",2018
"State Representative District 112","Chambers","D",2018
"State Representative District 102","Ramos","D",2018
"State Representative District 103","Anchia","D",2018
"State Representative District 115","Johnson","D",2018
"State Representative District 105","Meza","D",2018
"State Representative District 62","Smith","R",2018
"State Representative District 62","Hefner","D",2018
"State Representative District 64","Stucky","R",2018
"State Representative District 106","Patterson","R",2018
"State Representative District 65","Simmons","R",2018
"State Representative District 63","Parker","R",2018
"State Representative District 64","Morris","D",2018
"State Representative District 106","Thompson","D",2018
"State Representative District 65","Beckley","D",2018
"State Representative District 63","Haines","D",2018
"US Representative District 6","Wright","R",2018
"US Representative District 6","Sanchez","D",2018
"State Representative District 10","Wray","R",2018
"State Representative District 10","Emery","D",2018
"US Representative District 16","Seeberger","R",2018
"US Representative District 16","Escobar","D",2018
"State Representative District 78","Lane","R",2018
"State Representative District 78","Moody","D",2018
"US Representative District 9","Green","D",2018
"State Representative District 28","Zerwas","R",2018
"State Representative District 85","Stephenson","R",2018
"State Representative District 26","Miller","R",2018
"State Representative District 28","Scoggins","D",2018
"State Representative District 85","Cantu","D",2018
"State Representative District 26","DeMerchant","D",2018
"State Representative District 24","Bonnen","R",2018
"State Representative District 24","Phelps","D",2018
"US Representative District 8","Brady","R",2018
"US Representative District 8","David","D",2018
"State Representative District 44","Kuempel","R",2018
"State Representative District 44","Rodgers","D",2018
"State Representative District 19","White","R",2018
"State Representative District 19","Williams","D",2018
"US Representative District 18","Pate","R",2018
"US Representative District 7","Culberson","R",2018
"US Representative District 29","Aronoff","R",2018
"US Representative District 2","Crenshaw","R",2018
"US Representative District 18","Jackson Lee","D",2018
"US Representative District 7","Fletcher","D",2018
"US Representative District 29","Garcia","D",2018
"US Representative District 2","Litton","D",2018
"State Senator District 15","Orr","R",2018
"State Senator District 7","Bettencort","R",2018
"State Senator District 15","Whitmire","D",2018
"State Senator District 7","Romero","D",2018
"State Representative District 145","Alvarado","D",2018
"State Representative District 147","Wang","R",2018
"State Representative District 148","McConnico","R",2018
"State Representative District 150","Swanson","R",2018
"State Representative District 146","Thierry","D",2018
"State Representative District 134","Davis","R",2018
"State Representative District 130","Oliverson","R",2018
"State Representative District 135","Elkins","R",2018
"State Representative District 138","Bohac","R",2018
"State Representative District 144","Villarreal","R",2018
"State Representative District 139","Johnson","D",2018
"State Representative District 129","Paul","R",2018
"State Representative District 126","Harless","R",2018
"State Representative District 133","Murphy","R",2018
"State Representative District 127","Huberty","R",2018
"State Representative District 132","Schofield","R",2018
"State Representative District 131","Ali","R",2018
"State Representative District 137","Wu","D",2018
"State Representative District 149","Vo","D",2018
"State Representative District 147","Coleman","D",2018
"State Representative District 148","Farrar","D",2018
"State Representative District 150","Kelly","D",2018
"State Representative District 134","Sawyer","D",2018
"State Representative District 130","Infortunio","D",2018
"State Representative District 135","Rosenthal","D",2018
"State Representative District 138","Milasincic","D",2018
"State Representative District 144","Perez","D",2018
"State Representative District 129","Karjeker","D",2018
"State Representative District 126","Hurtado","D",2018
"State Representative District 133","Schexnayder","D",2018
"State Representative District 132","Calanni","D",2018
"State Representative District 131","Allen","D",2018
"State Representative District 4","Bell","R",2018
"State Representative District 4","Williams","D",2018
"State Representative District 41","Garza DeShazo","R",2018
"State Representative District 41","Guerra","D",2018
"State Representative District 2","Flynn","R",2018
"State Representative District 2","Brannon","D",2018
"State Representative District 71","Lambert","R",2018
"State Representative District 71","Hatton","D",2018
"State Representative District 18","Bailes","R",2018
"State Representative District 18","Lemond","D",2018
"State Representative District 84","Frullo","R",2018
"State Representative District 84","Fields","D",2018
"State Representative District 56","Anderson","R",2018
"State Representative District 56","Turner-Pearson","D",2018
"State Representative District 16","Metcalf","R",2018
"State Representative District 15","Toth","R",2018
"State Representative District 3","Bell","R",2018
"State Representative District 16","Midler","D",2018
"State Representative District 15","Perez McGill","D",2018
"State Representative District 3","Seger","D",2018
"State Representative District 34","Hale","R",2018
"State Representative District 34","Herrero","D",2018
"US Representative District 12","Granger","R",2018
"US Representative District 12","Adia","D",2018
"State Representative District 6","Schaefer","R",2018
"State Senator District 10","Burton","R",2018
"State Senator District 10","Powell","D",2018
"State Representative District 95","West","R",2018
"State Representative District 97","Goldman","R",2018
"State Representative District 96","Zedler","R",2018
"State Representative District 99","Geren","R",2018
"State Representative District 93","Krause","R",2018
"State Representative District 92","Stickland","R",2018
"State Representative District 101","Turner","D",2018
"State Representative District 94","Tinderholt","R",2018
"State Representative District 98","Capriglione","R",2018
"State Representative District 91","Klick","R",2018
"State Representative District 95","Collier","D",2018
"State Representative District 97","McLaughlin","D",2018
"State Representative District 96","Ray","D",2018
"State Representative District 99","Stackhouse","D",2018
"State Representative District 93","Bean","D",2018
"State Representative District 92","Riddell","D",2018
"State Representative District 94","Jones","D",2018
"State Representative District 98","Ringo","D",2018
"State Representative District 91","Sims","D",2018
"State Representative District 46","Nila","R",2018
"State Representative District 49","Austin","R",2018
"State Representative District 47","Workman","R",2018
"State Representative District 46","Cole","D",2018
"State Representative District 49","Hinojosa","D",2018
"State Representative District 47","Goodwin","D",2018
"State Representative District 42","De La Garza","R",2018
"State Representative District 42","Raymond","D",2018
"State Representative District 136","Dale","R",2018
"State Representative District 52","Flores","R",2018
"State Representative District 136","Bucy","D",2018
"State Representative District 52","Talarico","D",2018
"US President","Biden","D",2020
"US President","Trump","R",2020
"US Senator","Cornyn","R",2020
"US Senator","Hegar","D",2020
"US Representative District 5","Gooden","R",2020
"US Representative District 5","Salter","D",2020
"Railroad Commissioner 1","Castaneda","D",2020
"Railroad Commissioner 1","Wright","R",2020
"Supreme Court Chief Justice","Hecht","R",2020
"Supreme Court Chief Justice","Meachum","D",2020
"Supreme Court Seat 6","Bland","R",2020
"Supreme Court Seat 6","Cheng","D",2020
"Supreme Court Seat 7","Boyd","R",2020
"Supreme Court Seat 7","Williams","D",2020
"Supreme Court Seat 8","Busby","R",2020
"Supreme Court Seat 8","Triana","D",2020
"Court of Criminal Appeals Seat 3","Richardson","R",2020
"Court of Criminal Appeals Seat 3","Davis Frizell","D",2020
"Court of Criminal Appeals Seat 4","Yeary","R",2020
