"office","name","party","year"
"State Representative District 87","Swinford","R",2002
"State Representative District 34","Capello","D",2002
"State Representative District 34","Pate","R",2002
"State Representative District 33","Cuellar","R",2002
"State Representative District 33","Luna","D",2002
"State Representative District 32","Miller","D",2002
"State Representative District 32","Seaman","R",2002
"State Representative District 61","Dobbs","D",2002
"State Representative District 61","King","R",2002
"State Representative District 25","Bonnen","R",2002
"State Representative District 25","Ertell","D",2002
"State Representative District 12","Ingle","R",2002
"State Representative District 12","McReynolds","D",2002
"State Representative District 90","Burnam","D",2002
"State Representative District 90","Keilberg","R",2002
"State Senator District 10","Brimer","R",2002
"State Senator District 10","Ray","D",2002
"State Representative District 97","Mowery","R",2002
"State Representative District 97","Stevens","D",2002
"State Representative District 96","Cox","D",2002
"State Representative District 96","Zedler","R",2002
"State Representative District 93","Goodman","R",2002
"State Representative District 93","Gregory","D",2002
"State Representative District 99","Coffey","D",2002
"State Representative District 99","Geren","R",2002
"State Senator District 14","Barrientos","D",2002
"State Senator District 14","Bentzin","R",2002
"State Representative District 50","Stick","R",2002
"State Representative District 50","Sylvester","D",2002
"State Representative District 52","Freeman","D",2002
"State Representative District 52","Krusee","R",2002
"State Representative District 49","Naishtat","D",2002
"State Representative District 49","Pacetti","R",2002
"State Representative District 48","Baxter","R",2002
"State Representative District 48","Kitchen","D",2002
"State Representative District 47","Keel","R",2002
"State Representative District 47","Martin","D",2002
"State Representative District 38","Solis","D",2002
"State Representative District 38","Zamora","R",2002
"State Representative District 70","Lusk","D",2002
"State Representative District 70","Paxton","R",2002
"State Representative District 66","McCall","R",2002
"State Representative District 66","Spievack","D",2002
"State Representative District 67","Graham","D",2002
"State Representative District 67","Madden","R",2002
"US President","Bush","R",2004
"US President","Kerry","D",2004
"Agriculture Commissioner","Gilbert","D",2006
"Agriculture Commissioner","Staples","R",2006
"Attorney General","Abbott","R",2006
"Attorney General","Van Os","D",2006
"Court of Criminal Appeals Seat 7","Hervey","R",2006
"Court of Criminal Appeals Seat 8","Holcomb","R",2006
"Court of Criminal Appeals Presiding Judge","Keller","R",2006
"Court of Criminal Appeals Presiding Judge","Molina","D",2006
"Comptroller","Combs","R",2006
"Comptroller","Head","D",2006
"Governor","Bell","D",2006
"Governor","Perry","R",2006
"Land Commissioner","Hathcox","D",2006
"Land Commissioner","Patterson","R",2006
"Lieutenant Governor","Alvarado","D",2006
"Lieutenant Governor","Dewhurst","R",2006
"Railroad Commissioner 3","Henry","D",2006
"Railroad Commissioner 3","Jones","R",2006
"State Board of Education District 9","Charleton","D",2006
"State Board of Education District 9","McLeroy","R",2006
"State Representative District 8","Cook","R",2006
"State Representative District 8","Davis","D",2006
"Supreme Court Seat 2","Moody","D",2006
"Supreme Court Seat 2","Willett","R",2006
"Supreme Court Seat 4","Medina","R",2006
"Supreme Court Seat 6","Hecht","R",2006
"Supreme Court Seat 8","Johnson","R",2006
"Supreme Court Chief Justice","Jefferson","R",2006
"US Representative District 5","Hensarling","R",2006
"US Representative District 5","Thompson","D",2006
"US Senator","Hutchison","R",2006
"US Senator","Radnofsky","D",2006
"State Board of Education District 15","Craig","R",2006
"US Representative District 13","Thornberry","R",2006
"US Representative District 13","Waun","D",2006
"State Representative District 53","Hilderbran","R",2006
"State Senator District 19","Bowen","R",2006
"State Senator District 19","Uresti","D",2006
"State Representative District 85","Heflin","D",2006
"State Representative District 85","Landtroop","R",2006
