"","master_key","cntyvtd","county"
"175","n450001","450001","Briscoe"
"176","n570002","570002","Calhoun"
"177","n2550012","2550012","Karnes"
"178","n3090085","3090085","Mclennan"
"179","n3390069","3390069","Montgomery"
"180","n3470047","3470047","Nacogdoches"
"181","n3630012","3630012","Palo Pinto"
"182","n2010673","2010673","Harris"
"183","n2030008","2030008","Harrison"
"184","n2150171","2150171","Hidalgo"
"185","n2150088","2150088","Hidalgo"
"186","n2250010","2250010","Houston"
"187","n2310434","2310434","Hunt"
"188","n710007","710007","Chambers"
"189","n850012","850012","Collin"
"190","n890302","890302","Colorado"
"191","n1134066","1134066","Dallas"
"192","n1132511","1132511","Dallas"
"193","n2010341","2010341","Harris"
"194","n294106","294106","Bexar"
"195","n293104","293104","Bexar"
"196","n294143","294143","Bexar"
"197","n291125","291125","Bexar"
"198","n293018","293018","Bexar"
"199","n410058","410058","Brazos"
"200","n3090027","3090027","Mclennan"
"201","n3390012","3390012","Montgomery"
"202","n4090111","4090111","San Patricio"
"203","n4391455","4391455","Tarrant"
"204","n2010487","2010487","Harris"
"205","n2150025","2150025","Hidalgo"
"206","n2450004","2450004","Jefferson"
"207","n2730021","2730021","Kleberg"
"208","n277004GA","277004GA","Lamar"
"209","n3030063","3030063","Lubbock"
"210","n850075","850075","Collin"
"211","n1132040","1132040","Dallas"
"212","n1131055","1131055","Dallas"
"213","n11332C1","11332C1","Dallas"
"214","n2010818","2010818","Harris"
"215","n2011027","2011027","Harris"
"216","n10023","10023","Anderson"
"217","n293162","293162","Bexar"
"218","n510410","510410","Burleson"
"219","n530006","530006","Burnet"
"220","n770011","770011","Clay"
"221","n1134021","1134021","Dallas"
"222","n4710405","4710405","Walker"
"223","n4910411","4910411","Williamson"
"224","n3010001","3010001","Loving"
"225","n3610005","3610005","Orange"
"226","n4010213","4010213","Rusk"
"227","n4370011","4370011","Swisher"
"228","n4391010","4391010","Tarrant"
"229","n4530384","4530384","Travis"
"230","n1211008","1211008","Denton"
"231","n2010381","2010381","Harris"
"232","n2010132","2010132","Harris"
"233","n2150125","2150125","Hidalgo"
"234","n227034A","227034A","Howard"
"235","n227208C","227208C","Howard"
"236","n150412","150412","Austin"
"237","n150206","150206","Austin"
"238","n293058","293058","Bexar"
"239","n293064","293064","Bexar"
"240","n610043","610043","Cameron"
"241","n1030004","1030004","Crane"
"242","n4393212","4393212","Tarrant"
"243","n4530254","4530254","Travis"
"244","n5010406","5010406","Yoakum"
"245","n3030154","3030154","Lubbock"
"246","n3050004","3050004","Lynn"
"247","n3550045","3550045","Nueces"
"248","n3550039","3550039","Nueces"
"249","n4394242","4394242","Tarrant"
"250","n4391301","4391301","Tarrant"
"251","n1132105","1132105","Dallas"
"252","n1572059","1572059","Fort Bend"
"253","n1571038","1571038","Fort Bend"
"254","n2011067","2011067","Harris"
"255","n2010772","2010772","Harris"
"256","n2190014","2190014","Hockley"
"257","n294003","294003","Bexar"
"258","n350004","350004","Bosque"
"259","n910101","910101","Comal"
"260","n1131326","1131326","Dallas"
"261","n1211054","1211054","Denton"
"262","n1211051","1211051","Denton"
"263","n4430001","4430001","Terrell"
"264","n4770418","4770418","Washington"
"265","n4910312","4910312","Williamson"
"266","n2570003","2570003","Kaufman"
"267","n2930203","2930203","Limestone"
"268","n3630018","3630018","Palo Pinto"
"269","n3950023","3950023","Robertson"
"270","n4392318","4392318","Tarrant"
"271","n4393654","4393654","Tarrant"
"272","n1350207","1350207","Ector"
"273","n1850009","1850009","Grimes"
"274","n2010921","2010921","Harris"
"275","n2010089","2010089","Harris"
"276","n2010086","2010086","Harris"
"277","n2030002","2030002","Harrison"
"278","n291120","291120","Bexar"
"279","n1132102","1132102","Dallas"
"280","n1131061","1131061","Dallas"
"281","n1134536","1134536","Dallas"
"282","n1133307","1133307","Dallas"
"283","n1214199","1214199","Denton"
"284","n4392742","4392742","Tarrant"
"285","n4530192","4530192","Travis"
"286","n4630007","4630007","Uvalde"
"287","n4850101","4850101","Wichita"
"288","n2010775","2010775","Harris"
"289","n2010481","2010481","Harris"
"290","n3390018","3390018","Montgomery"
"291","n3790203","3790203","Rains"
"292","n4394485","4394485","Tarrant"
"293","n4391473","4391473","Tarrant"
"294","n1410057","1410057","El Paso"
"295","n1572070","1572070","Fort Bend"
"296","n1571013","1571013","Fort Bend"
"297","n1670434","1670434","Galveston"
"298","n1890306","1890306","Hale"
"299","n2010235","2010235","Harris"
"300","n293165","293165","Bexar"
"301","n291023","291023","Bexar"
"302","n293001","293001","Bexar"
"303","n37008A","37008A","Bowie"
"304","n410078","410078","Brazos"
"305","n850138","850138","Collin"
"306","n4790274","4790274","Webb"
"307","n4910209","4910209","Williamson"
"308","n2150128","2150128","Hidalgo"
"309","n2210216","2210216","Hood"
"310","n2750302","2750302","Knox"
"311","n3290403","3290403","Midland"
"312","n4530386A","4530386A","Travis"
"313","n4530171","4530171","Travis"
"314","n1134110","1134110","Dallas"
"315","n1132076","1132076","Dallas"
"316","n2010964","2010964","Harris"
"317","n2011130","2011130","Harris"
"318","n2010467","2010467","Harris"
"319","n2010633","2010633","Harris"
"320","n270419","270419","Bell"
"321","n294103","294103","Bexar"
"322","n293142","293142","Bexar"
"323","n410055","410055","Brazos"
"324","n590008","590008","Callahan"
"325","n850115","850115","Collin"
"326","n4530363","4530363","Travis"
"327","n4910163","4910163","Williamson"
"328","n4970005","4970005","Wise"
"329","n3550082","3550082","Nueces"
"330","n3670310","3670310","Parker"
"331","n4170303","4170303","Shackelford"
"332","n4230023","4230023","Smith"
"333","n4391184","4391184","Tarrant"
"334","n4393732","4393732","Tarrant"
"335","n910204","910204","Comal"
"336","n2010987","2010987","Harris"
"337","n2150151","2150151","Hidalgo"
"338","n2510042","2510042","Johnson"
"339","n3090066","3090066","Mclennan"
"340","n3310318","3310318","Milam"
"341","n50031","50031","Angelina"
"342","n294080","294080","Bexar"
"343","n1133040","1133040","Dallas"
"344","n1134517","1134517","Dallas"
"345","n1131329","1131329","Dallas"
"346","n1214215","1214215","Denton"
"347","n4910491","4910491","Williamson"
"348","n3090088","3090088","Mclennan"
"349","n3490104","3490104","Navarro"
"350","n3970003","3970003","Rockwall"
"351","n4210202","4210202","Sherman"
"352","n4391105","4391105","Tarrant"
"353","n4394534","4394534","Tarrant"
"354","n1410163","1410163","El Paso"
"355","n1610006B","1610006B","Freestone"
"356","n1870415","1870415","Guadalupe"
"357","n2010255","2010255","Harris"
"358","n2090316","2090316","Hays"
"359","n2450030","2450030","Jefferson"
"360","n90007","90007","Archer"
"361","n292001","292001","Bexar"
"362","n292123","292123","Bexar"
"363","n37001A","37001A","Bowie"
"364","n390013","390013","Brazoria"
"365","n1134147","1134147","Dallas"
"366","n4530137","4530137","Travis"
"367","n4630001","4630001","Uvalde"
"368","n3030022","3030022","Lubbock"
"369","n3490402","3490402","Navarro"
"370","n391003A","391003A","Refugio"
"371","n4394456","4394456","Tarrant"
"372","n4392027","4392027","Tarrant"
"373","n4392546","4392546","Tarrant"
"374","n1131176","1131176","Dallas"
"375","n1214193","1214193","Denton"
"376","n1650002","1650002","Gaines"
"377","n2010610","2010610","Harris"
"378","n2090422","2090422","Hays"
"379","n2170012","2170012","Hill"
"380","n292024","292024","Bexar"
"381","n610026","610026","Cameron"
"382","n930004","930004","Comanche"
"383","n1131142","1131142","Dallas"
"384","n1133500","1133500","Dallas"
"385","n4490001","4490001","Titus"
"386","n4910149","4910149","Williamson"
"387","n2010107","2010107","Harris"
"388","n2010022","2010022","Harris"
"389","n2011102","2011102","Harris"
"390","n2010853","2010853","Harris"
"391","n3650005","3650005","Panola"
"392","n397003AA","397003AA","Rockwall"
"393","n294118","294118","Bexar"
"394","n291052","291052","Bexar"
"395","n291101","291101","Bexar"
"396","n291137","291137","Bexar"
"397","n550301","550301","Caldwell"
"398","n910308","910308","Comal"
"399","n4391382","4391382","Tarrant"
"400","n4550002","4550002","Trinity"
"401","n4590002","4590002","Upshur"
"402","n4970020","4970020","Wise"
"403","n2010462","2010462","Harris"
"404","n2010499","2010499","Harris"
"405","n2650404","2650404","Kerr"
"406","n2730044","2730044","Kleberg"
"407","n3690301","3690301","Parmer"
"408","n4391241","4391241","Tarrant"
"409","n990102","990102","Coryell"
"410","n1110002","1110002","Dallam"
"411","n1213132","1213132","Denton"
"412","n149201E","149201E","Fayette"
"413","n1571146","1571146","Fort Bend"
"414","n2011039","2011039","Harris"
"415","n293180","293180","Bexar"
"416","n294224","294224","Bexar"
"417","n292124","292124","Bexar"
"418","n410092","410092","Brazos"
"419","n1134041","1134041","Dallas"
"420","n1211026","1211026","Denton"
"421","n3450003","3450003","Motley"
"422","n3610023","3610023","Orange"
"423","n3910003","3910003","Refugio"
"424","n4230055","4230055","Smith"
"425","n4730418","4730418","Waller"
"426","n4910258","4910258","Williamson"
"427","n1310008","1310008","Duval"
"428","n1410135","1410135","El Paso"
"429","n2010896","2010896","Harris"
"430","n2010648","2010648","Harris"
"431","n2011145","2011145","Harris"
"432","n2150060","2150060","Hidalgo"
"433","n293033","293033","Bexar"
"434","n390065","390065","Brazoria"
"435","n390022","390022","Brazoria"
"436","n850047","850047","Collin"
"437","n1134506","1134506","Dallas"
"438","n1391045","1391045","Ellis"
"439","n4790416","4790416","Webb"
"440","n4790453","4790453","Webb"
"441","n2090252","2090252","Hays"
"442","n2410001","2410001","Jasper"
"443","n3550020","3550020","Nueces"
"444","n3550014","3550014","Nueces"
"445","n4110001","4110001","San Saba"
"446","n411004B","411004B","San Saba"
"447","n1410029","1410029","El Paso"
"448","n1670143","1670143","Galveston"
"449","n2010747","2010747","Harris"
"450","n2010753","2010753","Harris"
"451","n2090450A","2090450A","Hays"
"452","n2090443","2090443","Hays"
"453","n270410","270410","Bell"
"454","n292081","292081","Bexar"
"455","n490215","490215","Brown"
"456","n730024","730024","Cherokee"
"457","n1132608","1132608","Dallas"
"458","n1133981","1133981","Dallas"
"459","n3150004","3150004","Marion"
"460","n3390086","3390086","Montgomery"
"461","n4310002A","4310002A","Sterling"
"462","n4391821","4391821","Tarrant"
"463","n4530357","4530357","Travis"
"464","n4690030","4690030","Victoria"
"465","n1410178","1410178","El Paso"
"466","n1573138","1573138","Fort Bend"
"467","n2010605","2010605","Harris"
"468","n2010356","2010356","Harris"
"469","n2150103","2150103","Hidalgo"
"470","n2270025","2270025","Howard"
"471","n294075","294075","Bexar"
"472","n291095","291095","Bexar"
"473","n610015","610015","Cameron"
"474","n97001C","97001C","Cooke"
"475","n1133072","1133072","Dallas"
"476","n1213126","1213126","Denton"
"477","n4910486","4910486","Williamson"
"478","n4970028","4970028","Wise"
"479","n3290308","3290308","Midland"
"480","n3670440","3670440","Parker"
"481","n4394130","4394130","Tarrant"
"482","n4391208","4391208","Tarrant"
"483","n4530482","4530482","Travis"
"484","n4590008","4590008","Upshur"
"485","n1490315","1490315","Fayette"
"486","n1870409","1870409","Guadalupe"
"487","n2010456","2010456","Harris"
"488","n2010996","2010996","Harris"
"489","n2150203","2150203","Hidalgo"
"490","n2650215","2650215","Kerr"
"491","n293108","293108","Bexar"
"492","n310302","310302","Blanco"
"493","n550111","550111","Caldwell"
"494","n850079","850079","Collin"
"495","n1134046","1134046","Dallas"
"496","n1131059","1131059","Dallas"
"497","n4910468","4910468","Williamson"
"498","n2310213","2310213","Hunt"
"499","n2630301","2630301","Kent"
"500","n3050002","3050002","Lynn"
"501","n3390051","3390051","Montgomery"
"502","n4530324","4530324","Travis"
"503","n475004M","475004M","Ward"
"504","n1132406","1132406","Dallas"
"505","n1212112","1212112","Denton"
"506","n2010408","2010408","Harris"
"507","n2011071","2011071","Harris"
"508","n2010739","2010739","Harris"
"509","n2150069","2150069","Hidalgo"
"510","n570006","570006","Calhoun"
"511","n850102","850102","Collin"
"512","n1134070","1134070","Dallas"
"513","n1131090","1131090","Dallas"
"514","n1132515","1132515","Dallas"
"515","n1213135","1213135","Denton"
"516","n2011048","2011048","Harris"
"517","n2150046","2150046","Hidalgo"
"518","n2270409","2270409","Howard"
"519","n2591110","2591110","Kendall"
"520","n4930313","4930313","Wilson"
"521","n1410078","1410078","El Paso"
"522","n1573102","1573102","Fort Bend"
"523","n1690005","1690005","Garza"
"524","n2010716","2010716","Harris"
"525","n2010385","2010385","Harris"
"526","n2010053","2010053","Harris"
"527","n213020","213020","Bastrop"
"528","n292084","292084","Bexar"
"529","n1134094","1134094","Dallas"
"530","n1131114","1131114","Dallas"
"531","n1132802","1132802","Dallas"
"532","n1213158","1213158","Denton"
"533","n4710101","4710101","Walker"
"534","n4910367","4910367","Williamson"
"535","n3550049","3550049","Nueces"
"536","n3850003","3850003","Real"
"537","n4330003","4330003","Stonewall"
"538","n4394250","4394250","Tarrant"
"539","n4392413","4392413","Tarrant"
"540","n4530252","4530252","Travis"
"541","n2011025","2011025","Harris"
"542","n2010193","2010193","Harris"
"543","n2010031","2010031","Harris"
"544","n2010693","2010693","Harris"
"545","n2010362","2010362","Harris"
"546","n2150023","2150023","Hidalgo"
"547","n1370001","1370001","Edwards"
"548","n1410101","1410101","El Paso"
"549","n1470016","1470016","Fannin"
"550","n1573158","1573158","Fort Bend"
"551","n1670439","1670439","Galveston"
"552","n1870123","1870123","Guadalupe"
"553","n1134120","1134120","Dallas"
"554","n1134664","1134664","Dallas"
"555","n1133201","1133201","Dallas"
"556","n1214180","1214180","Denton"
"557","n1350302","1350302","Ector"
"558","n1410124","1410124","El Paso"
"559","n4394371","4394371","Tarrant"
"560","n4530290","4530290","Travis"
"561","n4730104","4730104","Waller"
"562","n4910409","4910409","Williamson"
"563","n2010008","2010008","Harris"
"564","n2010879","2010879","Harris"
"565","n2010548","2010548","Harris"
"566","n2010671","2010671","Harris"
"567","n2090103","2090103","Hays"
"568","n4392506","4392506","Tarrant"
"569","n1450103","1450103","Falls"
"570","n1574073A","1574073A","Fort Bend"
"571","n1670371","1670371","Galveston"
"572","n1870217","1870217","Guadalupe"
"573","n2010339","2010339","Harris"
"574","n2010216","2010216","Harris"
"575","n270207","270207","Bell"
"576","n294064","294064","Bexar"
"577","n670018","670018","Cass"
"578","n850248","850248","Collin"
"579","n11330T6","11330T6","Dallas"
"580","n1330005","1330005","Eastland"
"581","n2910022","2910022","Liberty"
"582","n3550003","3550003","Nueces"
"583","n4190006","4190006","Shelby"
"584","n4230061","4230061","Smith"
"585","n4393566","4393566","Tarrant"
"586","n4570008","4570008","Tyler"
"587","n1670223","1670223","Galveston"
"588","n1870310","1870310","Guadalupe"
"589","n2010571","2010571","Harris"
"590","n2090216","2090216","Hays"
"591","n2150238","2150238","Hidalgo"
"592","n2450088","2450088","Jefferson"
"593","n250019","250019","Bee"
"594","n294041","294041","Bexar"
"595","n291061","291061","Bexar"
"596","n390077","390077","Brazoria"
"597","n850225","850225","Collin"
"598","n1133081","1133081","Dallas"
"599","n4550005","4550005","Trinity"
"600","n4550011","4550011","Trinity"
"601","n3410402","3410402","Moore"
"602","n3550026","3550026","Nueces"
"603","n4150006","4150006","Scurry"
"604","n4270008","4270008","Starr"
"605","n4394162","4394162","Tarrant"
"606","n4393471","4393471","Tarrant"
"607","n1270003","1270003","Dimmit"
"608","n2010594","2010594","Harris"
"609","n2090332","2090332","Hays"
"610","n2490002","2490002","Jim Wells"
"611","n2930402","2930402","Limestone"
"612","n3270002","3270002","Menard"
"613","n294187","294187","Bexar"
"614","n291084","291084","Bexar"
"615","n292090","292090","Bexar"
"616","n390054","390054","Brazoria"
"617","n730036","730036","Cherokee"
"618","n850202","850202","Collin"
"619","n3390095","3390095","Montgomery"
"620","n3830002","3830002","Reagan"
"621","n4090115","4090115","San Patricio"
"622","n4393372","4393372","Tarrant"
"623","n2090430","2090430","Hays"
"624","n2150192","2150192","Hidalgo"
"625","n2510004","2510004","Johnson"
"626","n2730031","2730031","Kleberg"
"627","n2850416","2850416","Lavaca"
"628","n3290206","3290206","Midland"
"629","n1133058","1133058","Dallas"
"630","n1132044","1132044","Dallas"
"631","n1170001","1170001","Deaf Smith"
"632","n1470009","1470009","Fannin"
"633","n2010199","2010199","Harris"
"634","n2010862","2010862","Harris"
"635","n270314","270314","Bell"
"636","n294210","294210","Bexar"
"637","n294087","294087","Bexar"
"638","n291107","291107","Bexar"
"639","n292067","292067","Bexar"
"640","n390031","390031","Brazoria"
"641","n3390073","3390073","Montgomery"
"642","n3510012","3510012","Newton"
"643","n38713-4","38713-4","Red River"
"644","n4070003","4070003","San Jacinto"
"645","n4392467","4392467","Tarrant"
"646","n2150215","2150215","Hidalgo"
"647","n2150092","2150092","Hidalgo"
"648","n2510026","2510026","Johnson"
"649","n2670001","2670001","Kimble"
"650","n2890007","2890007","Leon"
"651","n3290410","3290410","Midland"
"652","n710011","710011","Chambers"
"653","n850179","850179","Collin"
"654","n850056","850056","Collin"
"655","n1132018","1132018","Dallas"
"656","n1132225","1132225","Dallas"
"657","n2010885","2010885","Harris"
"658","n150310","150310","Austin"
"659","n291123","291123","Bexar"
"660","n292045","292045","Bexar"
"661","n293102","293102","Bexar"
"662","n1133702","1133702","Dallas"
"663","n1410061","1410061","El Paso"
"664","n4393200","4393200","Tarrant"
"665","n4790361","4790361","Webb"
"666","n3330008","3330008","Mills"
"667","n3390057","3390057","Montgomery"
"668","n3550089","3550089","Nueces"
"669","n4394480","4394480","Tarrant"
"670","n4391345","4391345","Tarrant"
"671","n4392557","4392557","Tarrant"
"672","n1573049","1573049","Fort Bend"
"673","n1571063","1571063","Fort Bend"
"674","n1730003","1730003","Glasscock"
"675","n2010733","2010733","Harris"
"676","n2010816","2010816","Harris"
"677","n2010485","2010485","Harris"
"678","n50039","50039","Angelina"
"679","n350008","350008","Bosque"
"680","n550405","550405","Caldwell"
"681","n930009","930009","Comanche"
"682","n1211012","1211012","Denton"
"683","n1391014","1391014","Ellis"
"684","n4770410","4770410","Washington"
"685","n2593030","2593030","Kendall"
"686","n3610009","3610009","Orange"
"687","n397001BA","397001BA","Rockwall"
"688","n4010201","4010201","Rusk"
"689","n4391111","4391111","Tarrant"
"690","n4530344","4530344","Travis"
"691","n1850015","1850015","Grimes"
"692","n2010047","2010047","Harris"
"693","n2010176","2010176","Harris"
"694","n2030006","2030006","Harrison"
"695","n2150169","2150169","Hidalgo"
"696","n229001W","229001W","Hudspeth"
"697","n294193","294193","Bexar"
"698","n1050004","1050004","Crockett"
"699","n1132148","1132148","Dallas"
"700","n1410015","1410015","El Paso"
"701","n2010779","2010779","Harris"
"702","n2011111","2011111","Harris"
"703","n4910181","4910181","Williamson"
"704","n4970009","4970009","Wise"
"705","n2730013","2730013","Kleberg"
"706","n3090025","3090025","Mclennan"
"707","n4393390","4393390","Tarrant"
"708","n4394650","4394650","Tarrant"
"709","n4392755","4392755","Tarrant"
"710","n4850105","4850105","Wichita"
"711","n10021","10021","Anderson"
"712","n1134025","1134025","Dallas"
"713","n1212095","1212095","Denton"
"714","n1410001","1410001","El Paso"
"715","n1810310","1810310","Grayson"
"716","n2010093","2010093","Harris"
"717","n4530437","4530437","Travis"
"718","n4790308","4790308","Webb"
"719","n2010425","2010425","Harris"
"720","n2010130","2010130","Harris"
"721","n2150086","2150086","Hidalgo"
"722","n4070009","4070009","San Jacinto"
"723","n4430004A","4430004A","Terrell"
"724","n4530122","4530122","Travis"
"725","n294147","294147","Bexar"
"726","n410016","410016","Brazos"
"727","n690105","690105","Castro"
"728","n850165","850165","Collin"
"729","n1134633","1134633","Dallas"
"730","n1214197","1214197","Denton"
"731","n3790101","3790101","Rains"
"732","n4170406A","4170406A","Shackelford"
"733","n4391639","4391639","Tarrant"
"734","n4530201","4530201","Travis"
"735","n4870021","4870021","Wilbarger"
"736","n1990010","1990010","Hardin"
"737","n2010239","2010239","Harris"
"738","n213003N","213003N","Henderson"
"739","n2150232","2150232","Hidalgo"
"740","n2450094","2450094","Jefferson"
"741","n2773H3C","2773H3C","Lamar"
"742","n294047","294047","Bexar"
"743","n291067","291067","Bexar"
"744","n292107","292107","Bexar"
"745","n850016","850016","Collin"
"746","n1133044","1133044","Dallas"
"747","n1131728","1131728","Dallas"
"748","n3290101","3290101","Midland"
"749","n3410101","3410101","Moore"
"750","n3670215","3670215","Parker"
"751","n4392316","4392316","Tarrant"
"752","n4510144","4510144","Tom Green"
"753","n4910319","4910319","Williamson"
"754","n1410207","1410207","El Paso"
"755","n1610006C","1610006C","Freestone"
"756","n2010925","2010925","Harris"
"757","n2010631","2010631","Harris"
"758","n2150132","2150132","Hidalgo"
"759","n2930301","2930301","Limestone"
"760","n214026","214026","Bastrop"
"761","n292008","292008","Bexar"
"762","n293062","293062","Bexar"
"763","n410062","410062","Brazos"
"764","n610087","610087","Cameron"
"765","n850119","850119","Collin"
"766","n3390016","3390016","Montgomery"
"767","n3550043","3550043","Nueces"
"768","n4230024","4230024","Smith"
"769","n2011080","2011080","Harris"
"770","n2010660","2010660","Harris"
"771","n212012","212012","Bastrop"
"772","n294010","294010","Bexar"
"773","n293051","293051","Bexar"
"774","n293094","293094","Bexar"
"775","n410005","410005","Brazos"
"776","n490101","490101","Brown"
"777","n4850404","4850404","Wichita"
"778","n4910332","4910332","Williamson"
"779","n3090017","3090017","Mclennan"
"780","n3550032","3550032","Nueces"
"781","n3630026","3630026","Palo Pinto"
"782","n4270014","4270014","Starr"
"783","n4530238","4530238","Travis"
"784","n4810301","4810301","Wharton"
"785","n530013","530013","Burnet"
"786","n850231","850231","Collin"
"787","n1134622","1134622","Dallas"
"788","n1410047","1410047","El Paso"
"789","n1410211B","1410211B","El Paso"
"790","n1810409","1810409","Grayson"
"791","n292093","292093","Bexar"
"792","n293074","293074","Bexar"
"793","n510203","510203","Burleson"
