"master_key","cntyvtd","county"
"n450001","450001","Briscoe"
"n570002","570002","Calhoun"
"n2550012","2550012","Karnes"
"n3090085","3090085","Mclennan"
"n3390069","3390069","Montgomery"
"n3470047","3470047","Nacogdoches"
"n3630012","3630012","Palo Pinto"
"n2010673","2010673","Harris"
"n2030008","2030008","Harrison"
"n2150171","2150171","Hidalgo"
"n2150088","2150088","Hidalgo"
"n2250010","2250010","Houston"
"n2310434","2310434","Hunt"
"n710007","710007","Chambers"
"n850012","850012","Collin"
"n890302","890302","Colorado"
"n1134066","1134066","Dallas"
"n1132511","1132511","Dallas"
"n2010341","2010341","Harris"
"n294106","294106","Bexar"
"n293104","293104","Bexar"
"n294143","294143","Bexar"
"n291125","291125","Bexar"
"n293018","293018","Bexar"
"n410058","410058","Brazos"
"n3090027","3090027","Mclennan"
"n3390012","3390012","Montgomery"
"n4090111","4090111","San Patricio"
"n4391455","4391455","Tarrant"
"n2010487","2010487","Harris"
"n2150025","2150025","Hidalgo"
"n2450004","2450004","Jefferson"
"n2730021","2730021","Kleberg"
"n277004GA","277004GA","Lamar"
"n3030063","3030063","Lubbock"
"n850075","850075","Collin"
"n1132040","1132040","Dallas"
"n1131055","1131055","Dallas"
"n11332C1","11332C1","Dallas"
"n2010818","2010818","Harris"
"n2011027","2011027","Harris"
"n10023","10023","Anderson"
"n293162","293162","Bexar"
"n510410","510410","Burleson"
"n530006","530006","Burnet"
"n770011","770011","Clay"
"n1134021","1134021","Dallas"
"n4710405","4710405","Walker"
"n4910411","4910411","Williamson"
"n3010001","3010001","Loving"
"n3610005","3610005","Orange"
"n4010213","4010213","Rusk"
"n4370011","4370011","Swisher"
"n4391010","4391010","Tarrant"
"n4530384","4530384","Travis"
"n1211008","1211008","Denton"
"n2010381","2010381","Harris"
"n2010132","2010132","Harris"
"n2150125","2150125","Hidalgo"
"n227034A","227034A","Howard"
"n227208C","227208C","Howard"
"n150412","150412","Austin"
"n150206","150206","Austin"
"n293058","293058","Bexar"
"n293064","293064","Bexar"
"n610043","610043","Cameron"
"n1030004","1030004","Crane"
"n4393212","4393212","Tarrant"
"n4530254","4530254","Travis"
"n5010406","5010406","Yoakum"
"n3030154","3030154","Lubbock"
"n3050004","3050004","Lynn"
"n3550045","3550045","Nueces"
"n3550039","3550039","Nueces"
"n4394242","4394242","Tarrant"
"n4391301","4391301","Tarrant"
"n1132105","1132105","Dallas"
"n1572059","1572059","Fort Bend"
"n1571038","1571038","Fort Bend"
"n2011067","2011067","Harris"
"n2010772","2010772","Harris"
"n2190014","2190014","Hockley"
"n294003","294003","Bexar"
"n350004","350004","Bosque"
"n910101","910101","Comal"
"n1131326","1131326","Dallas"
"n1211054","1211054","Denton"
"n1211051","1211051","Denton"
"n4430001","4430001","Terrell"
"n4770418","4770418","Washington"
"n4910312","4910312","Williamson"
"n2570003","2570003","Kaufman"
"n2930203","2930203","Limestone"
"n3630018","3630018","Palo Pinto"
